model,asset,q_v_stat,a_hat,b_hat,loc_magnitude,scale_magnitude,scale_share,mean_raw,R,replacement
Moirai-2.0,EURUSD,0.047657489391002214,-0.005861402651097171,-1.4476217643238924,0.005861402651097171,0.03744096456081209,0.864640133357764,0.01529687515716074,3.1155048924284965,True
Moirai-2.0,FTSE100,0.07745068786554962,9.828586542341548e-05,-1.2156921144696957,9.828586542341548e-05,0.05435417882645683,0.9981950153040902,0.024531467378294106,3.1571975157947305,True
Moirai-2.0,GBPUSD,0.04313690842852359,0.0012566005244809848,-0.9952924166842569,0.0012566005244809848,0.028068971731025717,0.9571500084113441,0.014067598060473892,3.066401829444255,True
Moirai-2.0,GDAXI,0.10147285644728021,0.0014254515057130087,-1.0738150631854877,0.0014254515057130087,0.065567339191959,0.9787223148809273,0.03161677256372329,3.2094628331453716,True
Moirai-2.0,GOLD,0.07101469617625435,0.003610949018413418,-1.0656031334036977,0.003610949018413418,0.053427296227961045,0.9366924946092562,0.02586522810890765,2.7455662048384486,True
Moirai-2.0,HSI,0.10329414376267712,0.0005590042239031099,-1.1056564831387057,0.0005590042239031099,0.06547696224526967,0.9915348520845217,0.031095747463835727,3.3218093208020787,True
Moirai-2.0,IBGL,0.04208208826395453,0.00026899062517826233,-1.1627712507617418,0.00026899062517826233,0.03936292134500736,0.9932127769818268,0.01820022405566168,2.3121741872657737,True
Moirai-2.0,ICLN,0.11306993959861163,0.002077637432967197,-1.1218761186424775,0.002077637432967197,0.07767486736861721,0.9739489381789809,0.036606692863064796,3.088777782291726,True
Moirai-2.0,NATGAS,0.1763316498804931,-0.00674148217207467,-1.0843658366363131,0.00674148217207467,0.15744425294399716,0.958939903230273,0.07553580574803316,2.3344114507586955,True
Moirai-2.0,NIFTY,0.06751173359391292,-0.005548947746779925,-1.3967940866858317,0.005548947746779925,0.0594369165556516,0.9146130038225512,0.02479850767565854,2.7224111417067403,True
Moirai-2.0,NIKKEI,0.09096110354061784,-0.003856014553254291,-1.3002792710519904,0.003856014553254291,0.07529214366167995,0.9512810576996255,0.032731740275712906,2.7789876973975436,True
Moirai-2.0,SP500,0.09458216981899799,0.00504182219279086,-0.9693580999419216,0.00504182219279086,0.048184721878919826,0.9052761684846916,0.024467222025461415,3.865668514413798,True
Moirai-2.0,STOXX,0.08518844882068974,0.005363168135337911,-1.0628619868874514,0.005363168135337911,0.051947977658826104,0.906420155084667,0.025182478512393254,3.3828460839851515,True
Moirai-2.0,TLT,0.04840618551099533,-8.831957336144709e-05,-1.003676874649966,8.831957336144709e-05,0.0393623338302206,0.9977612646244935,0.019645050720614336,2.4640397319107343,True
Moirai-2.0,USDJPY,0.041770930160613895,-0.012032645090620535,-2.0423857041553655,0.012032645090620535,0.045882581172455035,0.7922369320295297,0.015081119106557553,2.7697500341636525,True
Moirai-2.0,WTI,0.18236805842513726,0.016622733402009527,-0.6955949072235155,0.016622733402009527,0.09153069506646568,0.8463041473821169,0.05398146377801073,3.3783459295415517,True
Lag-Llama,ASX200,0.007124247836627448,0.010007742232589247,0.8284836924872602,0.010007742232589247,0.0035609931639951527,0.2624410499516076,0.020761834344705972,0.3431415412696446,False
Lag-Llama,AUDUSD,0.005069993100678873,0.004790499628456501,1.016097510629256,0.004790499628456501,0.000275035841545268,0.05429551193038471,0.017085613290132636,0.2967404806947679,False
Lag-Llama,BOVESPA,0.009859050827052546,0.028107037542373613,0.4283876919234626,0.028107037542373613,0.021732588269416167,0.436050389934413,0.03801980461642934,0.259313558460324,False
Lag-Llama,BTC,0.03684647219935443,0.09703937632501257,0.1357626962782078,0.09703937632501257,0.07545146672568959,0.437423027166209,0.08730410779627522,0.4220474056654464,False
Lag-Llama,FCHI,0.011366232311129178,0.02564361263758507,0.4507044961094222,0.02564361263758507,0.016903077045453584,0.3972830124124096,0.030772283635550665,0.3693659023082049,False
Lag-Llama,CBU0,0.0024857182085719232,0.005155348055700089,0.48457249192607316,0.005155348055700089,0.0037040835473344403,0.4180949425768713,0.007186429690522397,0.345890562576593,False
Lag-Llama,DJCI,0.005236942707085015,0.021217951117349202,0.013072771846086274,0.021217951117349202,0.019910791642054407,0.4841089298189655,0.020174528652227304,0.2595819112981778,False
Lag-Llama,ETH,0.039665284081128405,0.11373264214474338,0.15257525411059777,0.11373264214474338,0.08534813619871427,0.4287110835555915,0.10071470843011363,0.393838047087753,False
Lag-Llama,EURUSD,0.0032323802098128893,0.005240201722224887,0.7861518174501152,0.005240201722224887,0.003012519692557565,0.3650334890938491,0.014087188661773305,0.22945530775662906,False
Lag-Llama,FTSE100,0.007876998044277224,0.01015305096752845,0.8648498685391537,0.01015305096752845,0.003343645039804928,0.24773804181320908,0.024740227801950745,0.31838825848063246,False
Lag-Llama,GBPUSD,0.003590903920353822,0.007827622862070793,0.5954353594820636,0.007827622862070793,0.005256340055077851,0.4017391434355542,0.012992583949868974,0.27638104431028404,False
Lag-Llama,GDAXI,0.011476128009957579,0.023630998874660872,0.5365407883611304,0.023630998874660872,0.014758612449810192,0.3844428724497782,0.03184446889645641,0.36038057495236225,False
Lag-Llama,GOLD,0.009904797092721202,0.020091358817897746,0.5327906887949139,0.020091358817897746,0.011573043859482128,0.36549067346688247,0.024770576231949337,0.39986139199886256,False
Lag-Llama,HSI,0.010445109658784396,0.018975706860435683,0.5848369006739199,0.018975706860435683,0.01254766711922708,0.3980432782138797,0.03022346431943319,0.3455960424784383,False
Lag-Llama,IBGL,0.005871659340550199,0.011802590307948299,0.5111448578179004,0.011802590307948299,0.008629890074163094,0.4223613537257351,0.017653266437255642,0.332610362021081,False
Lag-Llama,ICLN,0.010926482324309653,0.019263012367668825,0.7409085875975204,0.019263012367668825,0.009275068103824108,0.32500672612122933,0.035798438928635615,0.305222312796702,False
Lag-Llama,NATGAS,0.017042094857963038,0.061691384369318314,0.27975651375679134,0.061691384369318314,0.052075678956574736,0.4577395024023835,0.07230288083298271,0.23570423006145108,False
Lag-Llama,NIFTY,0.006109485689649412,0.01363020220579982,0.6573373030618023,0.01363020220579982,0.008558289866329576,0.3857084942279383,0.02497584342503771,0.2446157907734476,False
Lag-Llama,NIKKEI,0.011381577724163951,0.021045124707331116,0.5813205954771112,0.021045124707331116,0.013583528853808018,0.39226269164134314,0.03244374742838687,0.35080958971482945,False
Lag-Llama,SP500,0.008219084752491997,0.018041225187627463,0.5410469639353245,0.018041225187627463,0.01116485344035034,0.3822784147973576,0.024326788501246546,0.33786147941685096,False
Lag-Llama,STOXX,0.012709359384210278,0.02149972048234646,0.5609648843109107,0.02149972048234646,0.011359154501614694,0.3456951738962227,0.02587299761611526,0.4912209853988516,False
Lag-Llama,TLT,0.00457032730886478,0.013059191621816249,0.41417146736674626,0.013059191621816249,0.01044002108823166,0.4442711003576586,0.017820950170017457,0.256458116164538,False
Lag-Llama,USDJPY,0.00480167730304349,0.005020295691295411,0.982579392380079,0.005020295691295411,0.00025280785309186773,0.04794289567117601,0.014511999730868955,0.3308763362798087,False
Lag-Llama,WTI,0.01690681812634271,0.03352723437588981,0.5924978552289724,0.03352723437588981,0.020391647135757945,0.37819121176230014,0.05004058849117434,0.3378620962726001,False
GJR-GARCH,ASX200,-0.00490538462750153,0.0009495866072369084,0.7334764266265894,0.0009495866072369084,0.007955336595823814,0.8933638633839621,0.029848528950488208,0.164342592415138,False
GJR-GARCH,AUDUSD,-0.002965768274704376,0.00043778247739114675,0.8177853172446679,0.00043778247739114675,0.004524651798509893,0.9117807001460674,0.024831433614959264,0.11943604709627803,False
GJR-GARCH,BOVESPA,-0.012060269601615013,0.0064686767666584395,0.614757884700976,0.0064686767666584395,0.02140279611415064,0.7679104798543871,0.0555567402009976,0.21708022389330997,False
GJR-GARCH,BTC,-0.0033342395003210026,0.07686170407625426,0.2640492285230305,0.07686170407625426,0.09606342161121167,0.5555203226211944,0.1305296839602781,0.02554391766807354,False
GJR-GARCH,FCHI,-0.006705544605853778,0.008135222735796057,0.5632631882965718,0.008135222735796057,0.01899797330535845,0.7001745491590121,0.04349982139417017,0.1541510836353101,False
GJR-GARCH,CBU0,0.0001826293563039318,0.004124556477205181,0.3796786794247936,0.004124556477205181,0.005901737028066202,0.5886259987265812,0.009513999974390189,0.01919585419335022,False
GJR-GARCH,DJCI,-0.004869171136419898,0.006310712295986317,0.5786245738132234,0.006310712295986317,0.01299180199693766,0.6730626798033388,0.030831892866906255,0.15792644186456278,False
GJR-GARCH,ETH,-0.01780004430813731,0.04737604745876542,0.5129500581116412,0.04737604745876542,0.07790449440884886,0.6218403372741765,0.15995175793842115,0.11128383043461167,False
GJR-GARCH,EURUSD,-0.0034920328096063368,0.004560090873562171,0.47012909372237566,0.004560090873562171,0.011389502011554378,0.7140935880678532,0.021494862006231536,0.16245895454429846,False
GJR-GARCH,FTSE100,-0.004592435780081488,0.003046446477939735,0.7170903627888212,0.003046446477939735,0.009760151788630966,0.7621189940897942,0.03449918456240312,0.13311722692385838,False
GJR-GARCH,GBPUSD,-0.0035827736325732083,0.002263255718429256,0.6619412191535803,0.002263255718429256,0.006449358177101758,0.7402322947433543,0.019077623604256282,0.18779978612083947,False
GJR-GARCH,GDAXI,-0.006924100032849892,0.007649224669404848,0.556387141110759,0.007649224669404848,0.01998687228789351,0.7232161733538578,0.04505476315077633,0.15368186510443535,False
GJR-GARCH,GOLD,-0.004206739690607201,0.009583249983211799,0.5525555841441573,0.009583249983211799,0.01676434407851623,0.6362760880268673,0.03746687517923422,0.1122789042449625,False
GJR-GARCH,HSI,-0.006749505667209471,0.005129725950607011,0.6378882334075009,0.005129725950607011,0.015499047379570653,0.7513315082529518,0.0428018330512094,0.1576919768630974,False
GJR-GARCH,IBGL,-0.0036142556873221612,0.00995365596128728,0.4266708470505538,0.00995365596128728,0.016310335067322743,0.6210151019909916,0.02844846626656873,0.12704571323655015,False
GJR-GARCH,ICLN,-0.006720677393820866,0.009729753808150901,0.5967356996430877,0.009729753808150901,0.021050495326983422,0.6838961970244481,0.05220024512051405,0.12874800450275517,False
GJR-GARCH,NATGAS,-0.021745097253063672,0.01352997479681356,0.5703207790011853,0.01352997479681356,0.04526283884548676,0.7698702620505476,0.10534100006109351,0.20642577192595854,False
GJR-GARCH,NIFTY,-0.006706814275816996,0.0001424923218601486,0.7825414753385922,0.0001424923218601486,0.008406694316603786,0.9833326457959104,0.038658840023371666,0.17348720943934973,False
