module,innovation,phi,n_cal,alpha,truth,removable_loss,inner_estimation_cost,oracle_shrinkage_gain,selection_regret,grid_discretisation_gap,validation_reservation_effect,full_estimation_cost,selected_change,constant_family_gap
garch,t5,0.0,250,0.01,constant,8.148502670904173e-06,0.00010583666945459238,0.00010308383300599425,1.555915524817979e-05,1.9384177356894022e-06,6.81093788945169e-05,3.772729056007548e-05,1.0163489025873755e-05,0.0
garch,t5,0.0,250,0.01,none,0.0,0.00010583666945459238,0.00010583666945459238,1.4657519597227398e-05,0.0,6.81093788945169e-05,3.772729056007548e-05,1.4657519597227398e-05,0.0
garch,t5,0.0,250,0.01,state,3.4787528924410554e-06,0.00010801092493244057,0.00010628931213838515,1.477891927797199e-05,1.242501252661535e-06,6.849522158392983e-05,3.9515703348510724e-05,1.3021779179586357e-05,3.074837019503016e-06
garch,t5,0.0,250,0.05,constant,4.8121818656023535e-05,3.095044989414365e-05,2.655566802716971e-05,1.642784904872439e-05,6.159644194349075e-07,1.0905708409592121e-05,2.004474148455153e-05,-2.7299187740325213e-05,0.0
garch,t5,0.0,250,0.05,none,0.0,3.095044989414365e-05,3.095044989414365e-05,7.774322549340712e-06,0.0,1.0905708409592121e-05,2.004474148455153e-05,7.774322549340712e-06,0.0
garch,t5,0.0,250,0.05,state,2.0727724033459167e-05,4.0681743981517634e-05,3.6307461572854777e-05,1.4425289792846624e-05,5.071213508210949e-07,1.3560331154676803e-05,2.7121412826840827e-05,-1.9281518319496932e-06,1.798463099453415e-05
garch,t5,0.0,500,0.01,constant,8.148502670904173e-06,1.8533805638315974e-05,1.7014700670789245e-05,6.605703258250914e-06,2.9841249557413824e-07,7.059711123054701e-06,1.1474094515261271e-05,-2.3694445126530897e-08,0.0
garch,t5,0.0,500,0.01,none,0.0,1.853380563831597e-05,1.853380563831597e-05,4.424138051934816e-06,0.0,7.0597111230547015e-06,1.147409451526127e-05,4.424138051934816e-06,0.0
garch,t5,0.0,500,0.01,state,3.4787528924410554e-06,2.171554782148052e-05,2.0513404161520144e-05,5.323627791169355e-06,3.4762835323161185e-07,8.330574202020279e-06,1.3384973619460239e-05,3.047018558688673e-06,3.074837019503016e-06
garch,t5,0.0,500,0.05,constant,4.8121818656023535e-05,1.1114966965726376e-05,7.739533607384065e-06,9.619330911309372e-06,2.942812305181705e-07,2.513426361181815e-06,8.601540604544562e-06,-3.5127054386371855e-05,0.0
garch,t5,0.0,500,0.05,none,0.0,1.1114966965726375e-05,1.1114966965726375e-05,2.9273878308669084e-06,0.0,2.5134263611818213e-06,8.601540604544553e-06,2.9273878308669084e-06,0.0
garch,t5,0.0,500,0.05,state,2.0727724033459167e-05,1.776193375897312e-05,1.3395430781332558e-05,8.487231930714094e-06,2.532631683023869e-07,4.654684842336514e-06,1.3107248916636602e-05,-7.873989125104514e-06,1.798463099453415e-05
garch,t5,0.0,1000,0.01,constant,8.148502670904173e-06,6.881743729847662e-06,5.118996954522098e-06,3.098491867678526e-06,8.722714262188917e-08,2.156341114012874e-06,4.725402615834787e-06,-3.2872640279000834e-06,0.0
garch,t5,0.0,1000,0.01,none,0.0,6.881743729847659e-06,6.881743729847659e-06,1.1330309096381076e-06,0.0,2.156341114012875e-06,4.725402615834784e-06,1.1330309096381076e-06,0.0
garch,t5,0.0,1000,0.01,state,3.4787528924410554e-06,7.961939095981573e-06,6.787535922939588e-06,2.2745437253076035e-06,6.409988673683237e-08,2.3432320364659914e-06,5.618707059515582e-06,-2.980599409146674e-08,3.074837019503016e-06
garch,t5,0.0,1000,0.05,constant,4.8121818656023535e-05,5.372515134062306e-06,2.7369386785355932e-06,5.4162981744470365e-06,1.937964724721573e-07,1.7368205371817067e-06,3.635694596880599e-06,-4.006994402604979e-05,0.0
garch,t5,0.0,1000,0.05,none,0.0,5.372515134062308e-06,5.372515134062308e-06,1.3576874268726655e-06,0.0,1.736820537181707e-06,3.6356945968806e-06,1.3576874268726655e-06,0.0
garch,t5,0.0,1000,0.05,state,2.0727724033459167e-05,8.554886011966909e-06,4.5892154108898325e-06,5.4162395971267715e-06,1.0914059269816765e-07,2.802890589492441e-06,5.751995422474468e-06,-1.1345813835255323e-05,1.798463099453415e-05
