model,asset,method,DQ,p_DQ,DQ_rank
Moirai-1.1,USDJPY,Hist-Quantile,,,5
Moirai-1.1,USDJPY,aci,38.99981449903035,7.158200876618131e-07,6
Moirai-1.1,USDJPY,rolling,16.3708510942269,0.011895988317389536,6
Moirai-1.1,USDJPY,gamlss,7.488108678194254,0.27805297721012184,6
Moirai-1.1,USDJPY,gbm,24.778453997810956,0.00037525277649827363,6
Moirai-1.1,USO,Raw,14.29959650568489,0.02646279702824584,6
Moirai-1.1,USO,Conformal,5.072536215420396,0.5345440841409486,6
Moirai-1.1,USO,Scale,5.400914251139799,0.4935125183587863,6
Moirai-1.1,USO,QR-Residual,5.072536215420394,0.5345440841409488,6
Moirai-1.1,USO,Isotonic,3.6183458789318736,0.7281634867091177,6
Moirai-1.1,USO,Hist-Quantile,,,5
Moirai-1.1,USO,aci,17.27887893355444,0.008311159574363748,6
Moirai-1.1,USO,rolling,6.075672067080061,0.4147669012591192,6
Moirai-1.1,USO,gamlss,12.01362653769223,0.06166550260447025,6
Moirai-1.1,USO,gbm,10.034579926093283,0.1232033169758369,6
Lag-Llama,ASX200,Raw,335.5822552970893,1.9183313608336458e-69,6
Lag-Llama,ASX200,Conformal,40.74740470386949,3.2470773283430133e-07,6
Lag-Llama,ASX200,Scale,7.37883529236167,0.2872283476304097,6
Lag-Llama,ASX200,QR-Residual,123.4335533604323,3.0945129812845043e-24,6
Lag-Llama,ASX200,Isotonic,79.31774700585879,4.942121248560157e-15,6
Lag-Llama,ASX200,Hist-Quantile,,,5
Lag-Llama,ASX200,aci,12.568873063763016,0.05041667069062325,6
Lag-Llama,ASX200,rolling,9.966132662620604,0.12608551098316706,6
Lag-Llama,ASX200,gamlss,74.83923149969029,4.142261646826162e-14,6
Lag-Llama,ASX200,gbm,86.49638803535328,1.6163330349007393e-16,6
Lag-Llama,AUDUSD,Raw,54.0917412985965,7.069476615847071e-10,6
Lag-Llama,AUDUSD,Conformal,2.187363474750625,0.9016854002056106,6
Lag-Llama,AUDUSD,Scale,3.041000784197976,0.8036834898898559,6
Lag-Llama,AUDUSD,QR-Residual,2.187363474750627,0.9016854002056105,6
Lag-Llama,AUDUSD,Isotonic,13.331686712859934,0.038060900827012356,6
Lag-Llama,AUDUSD,Hist-Quantile,,,5
Lag-Llama,AUDUSD,aci,5.168568769740828,0.5223820122754483,6
Lag-Llama,AUDUSD,rolling,4.577037060527084,0.5990857909782847,6
Lag-Llama,AUDUSD,gamlss,1.5127638618449097,0.9586421963536902,6
Lag-Llama,AUDUSD,gbm,1.5574029743682658,0.9555906986961565,6
Lag-Llama,BOVESPA,Raw,91.15436914042564,1.7442022941252194e-17,6
Lag-Llama,BOVESPA,Conformal,37.932376242296705,1.1580772509944368e-06,6
Lag-Llama,BOVESPA,Scale,7.765453452474576,0.25579534792569547,6
Lag-Llama,BOVESPA,QR-Residual,200.42472746856112,1.5410010846192884e-40,6
Lag-Llama,BOVESPA,Isotonic,153.2359459455394,1.60030883407569e-30,6
Lag-Llama,BOVESPA,Hist-Quantile,,,5
Lag-Llama,BOVESPA,aci,10.35801622209489,0.1103624561270817,6
Lag-Llama,BOVESPA,rolling,8.778414808360363,0.18642870822073568,6
Lag-Llama,BOVESPA,gamlss,4.831927653984913,0.5655435190125917,6
Lag-Llama,BOVESPA,gbm,106.56804862626647,1.0653779396732662e-20,6
Lag-Llama,BTC,Raw,50.51041414508041,3.7139272410795955e-09,6
Lag-Llama,BTC,Conformal,4.896037824168623,0.557214672389625,6
Lag-Llama,BTC,Scale,4.162638635131913,0.654677553394218,6
Lag-Llama,BTC,QR-Residual,9.722798266389143,0.13682148797998012,6
Lag-Llama,BTC,Isotonic,352.01102746031347,5.711287962669873e-73,6
Lag-Llama,BTC,Hist-Quantile,,,5
Lag-Llama,BTC,aci,10.995850758250883,0.08850475437097956,6
Lag-Llama,BTC,rolling,6.543021665621052,0.3651799953071954,6
Lag-Llama,BTC,gamlss,8.044503774432972,0.23486094933627663,6
Lag-Llama,BTC,gbm,9.737990729091244,0.13612831592199887,6
Lag-Llama,CBU0,Raw,57.20145494668474,1.6631523189188771e-10,6
Lag-Llama,CBU0,Conformal,4.7460838044301505,0.5767675746340297,6
Lag-Llama,CBU0,Scale,3.674893353562102,0.7205740035053332,6
Lag-Llama,CBU0,QR-Residual,34.18168780006088,6.205166280023492e-06,6
Lag-Llama,CBU0,Isotonic,40.52931810607526,3.584401258001704e-07,6
Lag-Llama,CBU0,Hist-Quantile,,,5
Lag-Llama,CBU0,aci,22.072680486244,0.0011746938614202358,6
Lag-Llama,CBU0,rolling,21.28879187226531,0.0016277687722127576,6
Lag-Llama,CBU0,gamlss,67.32381177494945,1.4449613483083247e-12,6
Lag-Llama,CBU0,gbm,54.856868397871445,4.954448386477073e-10,6
Lag-Llama,DJCI,Raw,51.48085856555459,2.3713043208828313e-09,6
Lag-Llama,DJCI,Conformal,3.1338378181137667,0.7918710774037019,6
Lag-Llama,DJCI,Scale,3.133837818113768,0.7918710774037018,6
Lag-Llama,DJCI,QR-Residual,2.6385285501772415,0.852653367161558,6
Lag-Llama,DJCI,Isotonic,2.025504548551507,0.9173380607521306,6
Lag-Llama,DJCI,Hist-Quantile,,,5
Lag-Llama,DJCI,aci,9.854911184556002,0.1308965024480681,6
Lag-Llama,DJCI,rolling,4.2527435411239916,0.6425153815979909,6
Lag-Llama,DJCI,gamlss,60.864757608397866,3.002960829728886e-11,6
Lag-Llama,DJCI,gbm,44.48510634213688,5.9227411013327634e-08,6
Lag-Llama,ETH,Raw,86.2129412835321,1.8505271939860368e-16,6
Lag-Llama,ETH,Conformal,3.120862308488676,0.7935316636417923,6
Lag-Llama,ETH,Scale,3.2702726850724604,0.7742397466536372,6
Lag-Llama,ETH,QR-Residual,2.136478508653064,0.9067283237420295,6
Lag-Llama,ETH,Isotonic,22.308359874103914,0.0010645168192438203,6
Lag-Llama,ETH,Hist-Quantile,,,5
Lag-Llama,ETH,aci,4.566752091843846,0.6004519490014071,6
Lag-Llama,ETH,rolling,2.5948197357224694,0.8577085524305987,6
Lag-Llama,ETH,gamlss,,,2
Lag-Llama,ETH,gbm,71.67132221142863,1.856081414845167e-13,6
Lag-Llama,EURUSD,Raw,114.95837106805439,1.8629727753602827e-22,6
Lag-Llama,EURUSD,Conformal,13.375557208109434,0.03744494094829371,6
Lag-Llama,EURUSD,Scale,22.30897739955245,0.001064241892910518,6
Lag-Llama,EURUSD,QR-Residual,14.881210923186652,0.02120102292214492,6
Lag-Llama,EURUSD,Isotonic,68.16874764577585,9.702746238327332e-13,6
Lag-Llama,EURUSD,Hist-Quantile,,,5
Lag-Llama,EURUSD,aci,22.888797590712738,0.0008345915071180724,6
Lag-Llama,EURUSD,rolling,10.099303749269465,0.12053193469387552,6
Lag-Llama,EURUSD,gamlss,14.33596738006276,0.026100285956061463,6
Lag-Llama,EURUSD,gbm,72.79417214984315,1.0911948692603512e-13,6
Lag-Llama,FCHI,Raw,153.00689230346111,1.789203816757824e-30,6
Lag-Llama,FCHI,Conformal,63.797875707067014,7.589307324137922e-12,6
Lag-Llama,FCHI,Scale,60.79099310879398,3.108484244510624e-11,6
Lag-Llama,FCHI,QR-Residual,112.29068877246317,6.752295379301117e-22,6
Lag-Llama,FCHI,Isotonic,82.03503321512461,1.3564243107952847e-15,6
Lag-Llama,FCHI,Hist-Quantile,,,5
Lag-Llama,FCHI,aci,50.242635065964606,4.202876285974333e-09,6
Lag-Llama,FCHI,rolling,39.92269228450705,4.7172964526620974e-07,6
Lag-Llama,FCHI,gamlss,39.062181669183175,6.959501773525323e-07,6
Lag-Llama,FCHI,gbm,58.881470796362194,7.592761925264105e-11,6
Lag-Llama,FTSE100,Raw,275.2079415022786,1.666858635855166e-56,6
Lag-Llama,FTSE100,Conformal,58.48205050653017,9.150013651026577e-11,6
Lag-Llama,FTSE100,Scale,71.56288782568143,1.9537311650136288e-13,6
Lag-Llama,FTSE100,QR-Residual,83.78816495759183,5.883447771355063e-16,6
Lag-Llama,FTSE100,Isotonic,114.29976083988126,2.560462180621698e-22,6
Lag-Llama,FTSE100,Hist-Quantile,,,5
Lag-Llama,FTSE100,aci,26.049942093641803,0.00021792307078329025,6
Lag-Llama,FTSE100,rolling,18.699425583726075,0.004702551169858334,6
Lag-Llama,FTSE100,gamlss,16.917121824369666,0.009592708780113776,6
Lag-Llama,FTSE100,gbm,23.9040495910459,0.0005439113220521215,6
Lag-Llama,GBPUSD,Raw,139.35745463842636,1.3694544570503951e-27,6
Lag-Llama,GBPUSD,Conformal,11.472481373101447,0.07482632296294582,6
