model,asset,method,law,n_test,qV,VaR1_mean,ES975_mean,zone,multiplier,component,multiplier_hi,component_hi
GJR-GARCH-t,GLD,Raw,student,1490,0.0030563348672879957,0.025861462951036116,0.02682008149451387,Yellow,1.7,0.045594138540673575,1.92,0.05149455646946663
GJR-GARCH-t,GLD,Static,student,1490,0.0030563348672879957,0.028917797818324105,0.02987641636180187,Green,1.5,0.044814624542702804,1.5,0.044814624542702804
GARCH-N,GLD,Raw,normal,1490,0.0047088183763510615,0.024291580521297526,0.02441389391437713,Yellow,1.7,0.04150361965444112,1.92,0.04687467631560409
GARCH-N,GLD,Static,normal,1490,0.0047088183763510615,0.029000398897648584,0.02912271229072819,Green,1.5,0.04368406843609229,1.5,0.04368406843609229
Hist-Sim,GLD,Raw,window,1490,0.0034097358759497993,0.027161462342489767,0.02985419521957091,Green,1.5,0.04478129282935636,1.5,0.04478129282935636
Hist-Sim,GLD,Static,window,1490,0.0034097358759497993,0.030571198218439566,0.03326393109552071,Green,1.5,0.04989589664328107,1.5,0.04989589664328107
EWMA,GLD,Raw,normal,1490,0.0038254793609328874,0.02470862917566091,0.024830294266348956,Yellow,1.7,0.04221150025279322,1.92,0.047674164991389996
EWMA,GLD,Static,normal,1490,0.0038254793609328874,0.028534108536593793,0.028655773627281837,Green,1.5,0.04298366044092276,1.5,0.04298366044092276
Moirai-1.1,HSI,Raw,draws,1817,0.004164222877199926,0.037617821618033,0.04121062655875282,Green,1.5,0.06181593983812923,1.5,0.06181593983812923
Moirai-1.1,HSI,Static,draws,1817,0.004164222877199926,0.04178204449523292,0.04537484943595274,Green,1.5,0.06806227415392911,1.5,0.06806227415392911
Lag-Llama,HSI,Raw,draws,1817,0.009144033120657815,0.03284376500311257,0.036857748995353115,Red,2.0,0.07371549799070623,2.0,0.07371549799070623
Lag-Llama,HSI,Static,draws,1817,0.009144033120657815,0.04198779812377038,0.04600178211601093,Green,1.5,0.0690026731740164,1.5,0.0690026731740164
GJR-GARCH,HSI,Raw,normal,1817,0.004796309990335874,0.03219204037239996,0.032349664517006764,Yellow,1.7,0.054994429678911494,1.92,0.062111355872652985
GJR-GARCH,HSI,Static,normal,1817,0.004796309990335874,0.03698835036273583,0.03714597450734264,Green,1.5,0.05571896176101396,1.5,0.05571896176101396
GJR-GARCH-t,HSI,Raw,student,1817,0.0024478045441099494,0.034082522808574066,0.034913914014255455,Green,1.5,0.052370871021383186,1.5,0.052370871021383186
GJR-GARCH-t,HSI,Static,student,1817,0.0024478045441099494,0.03653032735268401,0.037361718558365405,Green,1.5,0.05604257783754811,1.5,0.05604257783754811
GARCH-N,HSI,Raw,normal,1817,0.005592825233431398,0.03319173411942122,0.033355356825129676,Yellow,1.7,0.05670410660272045,1.92,0.06404228510424897
GARCH-N,HSI,Static,normal,1817,0.005592825233431398,0.03878455935285262,0.03894818205856107,Green,1.5,0.058422273087841606,1.5,0.058422273087841606
Hist-Sim,HSI,Raw,window,1817,0.00345447585696345,0.03357479770274971,0.03901727368895038,Green,1.5,0.05852591053342557,1.5,0.05852591053342557
Hist-Sim,HSI,Static,window,1817,0.00345447585696345,0.03702927355971315,0.04247174954591384,Green,1.5,0.06370762431887075,1.5,0.06370762431887075
EWMA,HSI,Raw,normal,1817,0.004881750755762939,0.03310872873143955,0.03327175584456019,Yellow,1.7,0.056561984935752325,1.92,0.06388177122155557
EWMA,HSI,Static,normal,1817,0.004881750755762939,0.03799047948720249,0.03815350660032313,Green,1.5,0.05723025990048469,1.5,0.05723025990048469
Moirai-1.1,IBGL,Raw,draws,1260,0.0018867539764772755,0.02383784825525557,0.025916409824930486,Green,1.5,0.03887461473739573,1.5,0.03887461473739573
Moirai-1.1,IBGL,Static,draws,1260,0.0018867539764772755,0.025724602231732844,0.02780316380140776,Green,1.5,0.041704745702111634,1.5,0.041704745702111634
Lag-Llama,IBGL,Raw,draws,1260,0.005161581977397935,0.019525597097810415,0.021850229185798927,Red,2.0,0.043700458371597854,2.0,0.043700458371597854
Lag-Llama,IBGL,Static,draws,1260,0.005161581977397935,0.024687179075208354,0.02701181116319687,Green,1.5,0.040517716744795304,1.5,0.040517716744795304
GJR-GARCH,IBGL,Raw,normal,1260,0.003626101655059888,0.020014542615751963,0.020111554570265422,Green,1.5,0.030167331855398133,1.5,0.030167331855398133
GJR-GARCH,IBGL,Static,normal,1260,0.003626101655059888,0.023640644270811847,0.023737656225325313,Green,1.5,0.03560648433798797,1.5,0.03560648433798797
GJR-GARCH-t,IBGL,Raw,student,1260,0.0023516663294611655,0.020283815895554443,0.020427949152754508,Green,1.5,0.030641923729131763,1.5,0.030641923729131763
GJR-GARCH-t,IBGL,Static,student,1260,0.0023516663294611655,0.022635482225015612,0.022779615482215673,Green,1.5,0.03416942322332351,1.5,0.03416942322332351
GARCH-N,IBGL,Raw,normal,1260,0.0033518347475687306,0.02008965196961541,0.020187010225030656,Green,1.5,0.030280515337545985,1.5,0.030280515337545985
GARCH-N,IBGL,Static,normal,1260,0.0033518347475687306,0.023441486717184143,0.023538844972599386,Green,1.5,0.035308267458899076,1.5,0.035308267458899076
Hist-Sim,IBGL,Raw,window,1260,0.0016117231782461112,0.01932224294307658,0.0197310011527451,Yellow,1.7,0.03354270195966667,1.92,0.03788352221327059
Hist-Sim,IBGL,Static,window,1260,0.0016117231782461112,0.020933966121322693,0.02134272433099121,Green,1.5,0.032014086496486814,1.5,0.032014086496486814
EWMA,IBGL,Raw,normal,1260,0.0030553535460027953,0.019363077374058697,0.019458421010808687,Green,1.5,0.02918763151621303,1.5,0.02918763151621303
EWMA,IBGL,Static,normal,1260,0.0030553535460027953,0.022418430920061492,0.022513774556811486,Green,1.5,0.03377066183521723,1.5,0.03377066183521723
Moirai-1.1,ICLN,Raw,draws,1219,0.005968859020210323,0.047216404797104386,0.05190874119821731,Green,1.5,0.07786311179732597,1.5,0.07786311179732597
Moirai-1.1,ICLN,Static,draws,1219,0.005968859020210323,0.05318526381731471,0.05787760021842763,Green,1.5,0.08681640032764144,1.5,0.08681640032764144
Lag-Llama,ICLN,Raw,draws,1219,0.010417942441513776,0.04040949174076918,0.04504090500312496,Red,2.0,0.09008181000624992,2.0,0.09008181000624992
Lag-Llama,ICLN,Static,draws,1219,0.010417942441513776,0.05082743418228296,0.055458847444638734,Green,1.5,0.0831882711669581,1.5,0.0831882711669581
GJR-GARCH,ICLN,Raw,normal,1219,0.005827330095895582,0.04009675279899725,0.040293152591533966,Green,1.5,0.06043972888730095,1.5,0.06043972888730095
GJR-GARCH,ICLN,Static,normal,1219,0.005827330095895582,0.04592408289489284,0.04612048268742955,Green,1.5,0.06918072403114432,1.5,0.06918072403114432
GJR-GARCH-t,ICLN,Raw,student,1219,0.0035464842887102978,0.04301325244471135,0.04402872472366858,Green,1.5,0.06604308708550287,1.5,0.06604308708550287
GJR-GARCH-t,ICLN,Static,student,1219,0.0035464842887102978,0.04655973673342165,0.04757520901237887,Green,1.5,0.0713628135185683,1.5,0.0713628135185683
GARCH-N,ICLN,Raw,normal,1219,0.0060822008125969405,0.040631919549243584,0.04083146869820811,Green,1.5,0.06124720304731217,1.5,0.06124720304731217
GARCH-N,ICLN,Static,normal,1219,0.0060822008125969405,0.04671412036184052,0.046913669510805056,Green,1.5,0.07037050426620758,1.5,0.07037050426620758
Hist-Sim,ICLN,Raw,window,1219,0.0009335435543442253,0.041544839337596756,0.043743152665665974,Green,1.5,0.06561472899849896,1.5,0.06561472899849896
Hist-Sim,ICLN,Static,window,1219,0.0009335435543442253,0.04247838289194099,0.044676696220010206,Green,1.5,0.06701504433001532,1.5,0.06701504433001532
EWMA,ICLN,Raw,normal,1219,0.0059736721367458015,0.040039634467142975,0.04023678930418102,Yellow,1.7,0.06840254181710774,1.92,0.07725463546402755
EWMA,ICLN,Static,normal,1219,0.0059736721367458015,0.04601330660388877,0.046210461440926824,Green,1.5,0.06931569216139023,1.5,0.06931569216139023
Moirai-1.1,NIFTY,Raw,draws,1242,0.0017611793690417502,0.02358427766244109,0.026232629378645674,Green,1.5,0.03934894406796851,1.5,0.03934894406796851
Moirai-1.1,NIFTY,Static,draws,1242,0.0017611793690417502,0.025345457031482835,0.02799380874768743,Green,1.5,0.041990713121531145,1.5,0.041990713121531145
Lag-Llama,NIFTY,Raw,draws,1242,0.006083985553782142,0.019748089888171352,0.02264195186457928,Red,2.0,0.04528390372915856,2.0,0.04528390372915856
Lag-Llama,NIFTY,Static,draws,1242,0.006083985553782142,0.025832075441953494,0.028725937418361425,Green,1.5,0.04308890612754214,1.5,0.04308890612754214
GJR-GARCH,NIFTY,Raw,normal,1242,0.003846507683862431,0.01892863731634244,0.0190245475830003,Yellow,1.7,0.03234173089110051,1.92,0.03652713135936057
GJR-GARCH,NIFTY,Static,normal,1242,0.003846507683862431,0.022775145000204874,0.022871055266862735,Green,1.5,0.034306582900294105,1.5,0.034306582900294105
GJR-GARCH-t,NIFTY,Raw,student,1242,0.002686733892654874,0.020432212100155285,0.02111159921706091,Green,1.5,0.031667398825591365,1.5,0.031667398825591365
GJR-GARCH-t,NIFTY,Static,student,1242,0.002686733892654874,0.023118945992810162,0.02379833310971578,Green,1.5,0.03569749966457367,1.5,0.03569749966457367
GARCH-N,NIFTY,Raw,normal,1242,0.004244829939790078,0.018695409757665264,0.018790767500224622,Yellow,1.7,0.031944304750381854,1.92,0.036078273600431275
GARCH-N,NIFTY,Static,normal,1242,0.004244829939790078,0.02294023969745534,0.0230355974400147,Green,1.5,0.03455339616002205,1.5,0.03455339616002205
Hist-Sim,NIFTY,Raw,window,1242,0.002781913944728657,0.02159321609263548,0.02432972643149347,Yellow,1.7,0.041360534933538896,1.92,0.04671307474846746
Hist-Sim,NIFTY,Static,window,1242,0.002781913944728657,0.024375130037364138,0.02711164037622212,Green,1.5,0.04066746056433318,1.5,0.04066746056433318
EWMA,NIFTY,Raw,normal,1242,0.0035307230418004966,0.01921146901670595,0.01930606613512766,Yellow,1.7,0.03282031242971702,1.92,0.037067646979445104
EWMA,NIFTY,Static,normal,1242,0.0035307230418004966,0.022742192058506448,0.02283678917692816,Green,1.5,0.03425518376539224,1.5,0.03425518376539224
Moirai-1.1,NIKKEI,Raw,draws,1806,0.0060781385505903444,0.034678920185830804,0.03886246638457112,Yellow,1.7,0.06606619285377091,1.92,0.07461593545837655
Moirai-1.1,NIKKEI,Static,draws,1806,0.0060781385505903444,0.040757058736421145,0.04494060493516147,Green,1.5,0.0674109074027422,1.5,0.0674109074027422
Lag-Llama,NIKKEI,Raw,draws,1806,0.011060343771721867,0.029254923439790945,0.03364346816658289,Red,2.0,0.06728693633316578,2.0,0.06728693633316578
Lag-Llama,NIKKEI,Static,draws,1806,0.011060343771721867,0.040315267211512816,0.04470381193830475,Green,1.5,0.06705571790745712,1.5,0.06705571790745712
GJR-GARCH,NIKKEI,Raw,normal,1806,0.005677188179265644,0.028833623588646103,0.028977713078657964,Red,2.0,0.05795542615731593,2.0,0.05795542615731593
GJR-GARCH,NIKKEI,Static,normal,1806,0.005677188179265644,0.034510811767911743,0.03465490125792361,Green,1.5,0.05198235188688541,1.5,0.05198235188688541
GJR-GARCH-t,NIKKEI,Raw,student,1806,0.0033571114358577,0.031224866657753758,0.032182425561436696,Yellow,1.7,0.05471012345444238,1.92,0.06179025707795845
GJR-GARCH-t,NIKKEI,Static,student,1806,0.0033571114358577,0.03458197809361146,0.0355395369972944,Green,1.5,0.05330930549594161,1.5,0.05330930549594161
GARCH-N,NIKKEI,Raw,normal,1806,0.0062368341801094865,0.02906867312257783,0.02921548001840876,Red,2.0,0.05843096003681752,2.0,0.05843096003681752
GARCH-N,NIKKEI,Static,normal,1806,0.0062368341801094865,0.03530550730268731,0.03545231419851824,Green,1.5,0.05317847129777736,1.5,0.05317847129777736
Hist-Sim,NIKKEI,Raw,window,1806,0.005297441133602986,0.034573834883690514,0.03774174115860783,Yellow,1.7,0.06416095996963331,1.92,0.07246414302452703
Hist-Sim,NIKKEI,Static,window,1806,0.005297441133602986,0.03987127601729349,0.04303918229221081,Green,1.5,0.06455877343831622,1.5,0.06455877343831622
EWMA,NIKKEI,Raw,normal,1806,0.004879809921279229,0.030298734725080045,0.0304479254503871,Red,2.0,0.0608958509007742,2.0,0.0608958509007742
EWMA,NIKKEI,Static,normal,1806,0.004879809921279229,0.03517854464635927,0.03532773537166633,Green,1.5,0.05299160305749949,1.5,0.05299160305749949
Moirai-1.1,SP500,Raw,draws,1858,0.0024530336436822658,0.028334672684817343,0.03207726869839409,Yellow,1.7,0.054531356787269954,1.92,0.06158835590091665
Moirai-1.1,SP500,Static,draws,1858,0.0024530336436822658,0.03078770632849961,0.03453030234207636,Yellow,1.7,0.058701513981529806,1.92,0.06629818049678661
Lag-Llama,SP500,Raw,draws,1858,0.008755692629862243,0.024938607132375598,0.028498386355273353,Red,2.0,0.056996772710546706,2.0,0.056996772710546706
Lag-Llama,SP500,Static,draws,1858,0.008755692629862243,0.03369429976223784,0.037254078985135594,Green,1.5,0.05588111847770339,1.5,0.05588111847770339
GJR-GARCH,SP500,Raw,normal,1858,0.004248152537237981,0.02384092186048286,0.023960950734336905,Red,2.0,0.04792190146867381,2.0,0.04792190146867381
GJR-GARCH,SP500,Static,normal,1858,0.004248152537237981,0.028089074397720848,0.028209103271574887,Green,1.5,0.04231365490736233,1.5,0.04231365490736233
GJR-GARCH-t,SP500,Raw,student,1858,0.002524392593538956,0.025919567274152365,0.02673462355055386,Yellow,1.7,0.045448860035941556,1.92,0.05133047721706341
GJR-GARCH-t,SP500,Static,student,1858,0.002524392593538956,0.028443959867691326,0.02925901614409281,Green,1.5,0.043888524216139216,1.5,0.043888524216139216
GARCH-N,SP500,Raw,normal,1858,0.005611336700447361,0.02382709873558283,0.023948539258733047,Red,2.0,0.04789707851746609,2.0,0.04789707851746609
GARCH-N,SP500,Static,normal,1858,0.005611336700447361,0.029438435436030193,0.029559875959180408,Green,1.5,0.04433981393877061,1.5,0.04433981393877061
Hist-Sim,SP500,Raw,window,1858,0.003023452003537293,0.032763844375007116,0.035390049772076916,Yellow,1.7,0.060163084612530754,1.92,0.06794889556238767
Hist-Sim,SP500,Static,window,1858,0.003023452003537293,0.03578729637854441,0.038413501775614214,Yellow,1.7,0.06530295301854416,1.92,0.07375392340917929
EWMA,SP500,Raw,normal,1858,0.004425509939703653,0.024694221469333796,0.024815815616592143,Red,2.0,0.04963163123318429,2.0,0.04963163123318429
EWMA,SP500,Static,normal,1858,0.004425509939703653,0.029119731409037446,0.02924132555629579,Yellow,1.7,0.04971025344570284,1.92,0.056143345068087915
Moirai-1.1,STOXX,Raw,draws,1532,0.0056021270230105155,0.02532512001814223,0.028942680575364504,Green,1.5,0.04341402086304676,1.5,0.04341402086304676
Moirai-1.1,STOXX,Static,draws,1532,0.0056021270230105155,0.03092724704115275,0.03454480759837502,Green,1.5,0.051817211397562526,1.5,0.051817211397562526
Lag-Llama,STOXX,Raw,draws,1532,0.014183848451985729,0.02047111447779863,0.023224096389173703,Red,2.0,0.04644819277834741,2.0,0.04644819277834741
Lag-Llama,STOXX,Static,draws,1532,0.014183848451985729,0.03465496292978436,0.03740794484115943,Green,1.5,0.05611191726173915,1.5,0.05611191726173915
GJR-GARCH,STOXX,Raw,normal,1532,0.004083164776143549,0.019469313045782328,0.019567054300090588,Red,2.0,0.039134108600181176,2.0,0.039134108600181176
GJR-GARCH,STOXX,Static,normal,1532,0.004083164776143549,0.02355247782192588,0.023650219076234137,Green,1.5,0.03547532861435121,1.5,0.03547532861435121
GJR-GARCH-t,STOXX,Raw,student,1532,0.0024913824899650203,0.021522524955143594,0.022463973005052252,Yellow,1.7,0.03818875410858883,1.92,0.04313082816970032
GJR-GARCH-t,STOXX,Static,student,1532,0.0024913824899650203,0.024013907445108614,0.024955355495017272,Green,1.5,0.03743303324252591,1.5,0.03743303324252591
GARCH-N,STOXX,Raw,normal,1532,0.006122950817406943,0.019442621676987976,0.019541298610750515,Red,2.0,0.03908259722150103,2.0,0.03908259722150103
GARCH-N,STOXX,Static,normal,1532,0.006122950817406943,0.025565572494394916,0.025664249428157454,Green,1.5,0.03849637414223618,1.5,0.03849637414223618
Hist-Sim,STOXX,Raw,window,1532,0.006359586079224634,0.027936939759596827,0.0305362142161498,Green,1.5,0.0458043213242247,1.5,0.0458043213242247
Hist-Sim,STOXX,Static,window,1532,0.006359586079224634,0.034296525838821465,0.03689580029537443,Green,1.5,0.05534370044306165,1.5,0.05534370044306165
EWMA,STOXX,Raw,normal,1532,0.006014925890212724,0.019739949997506525,0.019837149352013403,Red,2.0,0.039674298704026806,2.0,0.039674298704026806
EWMA,STOXX,Static,normal,1532,0.006014925890212724,0.02575487588771925,0.025852075242226127,Green,1.5,0.03877811286333919,1.5,0.03877811286333919
Moirai-1.1,TLT,Raw,draws,1665,0.000742595560915247,0.02721881646191416,0.029843519028511137,Green,1.5,0.044765278542766705,1.5,0.044765278542766705
Moirai-1.1,TLT,Static,draws,1665,0.000742595560915247,0.027961412022829403,0.030586114589426377,Green,1.5,0.045879171884139563,1.5,0.045879171884139563
Lag-Llama,TLT,Raw,draws,1665,0.004687452096150154,0.02211377990507037,0.024870321366231185,Red,2.0,0.04974064273246237,2.0,0.04974064273246237
Lag-Llama,TLT,Static,draws,1665,0.004687452096150154,0.02680123200122052,0.029557773462381337,Green,1.5,0.044336660193572006,1.5,0.044336660193572006
GJR-GARCH,TLT,Raw,normal,1665,0.0011354798100596947,0.022749740566763838,0.022860937584584583,Green,1.5,0.03429140637687687,1.5,0.03429140637687687
GJR-GARCH,TLT,Static,normal,1665,0.0011354798100596947,0.023885220376823536,0.023996417394644278,Green,1.5,0.035994626091966415,1.5,0.035994626091966415
GJR-GARCH-t,TLT,Raw,student,1665,0.0006352174539701865,0.023154056229083196,0.023351570447447928,Green,1.5,0.03502735567117189,1.5,0.03502735567117189
GJR-GARCH-t,TLT,Static,student,1665,0.0006352174539701865,0.023789273683053384,0.023986787901418113,Green,1.5,0.03598018185212717,1.5,0.03598018185212717
GARCH-N,TLT,Raw,normal,1665,0.0009837969467220709,0.02278312944436364,0.0228945475527272,Yellow,1.7,0.038920730839636236,1.92,0.04395753130123622
GARCH-N,TLT,Static,normal,1665,0.0009837969467220709,0.023766926391085713,0.023878344499449273,Green,1.5,0.03581751674917391,1.5,0.03581751674917391
Hist-Sim,TLT,Raw,window,1665,0.0016605345467812227,0.026021644993691265,0.02635979702530477,Green,1.5,0.03953969553795715,1.5,0.03953969553795715
Hist-Sim,TLT,Static,window,1665,0.0016605345467812227,0.027682179540472484,0.028020331572085992,Green,1.5,0.042030497358128985,1.5,0.042030497358128985
EWMA,TLT,Raw,normal,1665,0.0005352500668327174,0.022606792954763387,0.02271810862085936,Yellow,1.7,0.03862078465546091,1.92,0.04361876855204997
EWMA,TLT,Static,normal,1665,0.0005352500668327174,0.023142043021596104,0.02325335868769208,Yellow,1.7,0.039530709769076536,1.92,0.04464644868036879
Moirai-1.1,UNG,Raw,draws,1309,0.0016206832874487848,0.1038583640916724,0.11337974914084234,Green,1.5,0.1700696237112635,1.5,0.1700696237112635
Moirai-1.1,UNG,Static,draws,1309,0.0016206832874487848,0.10547904737912119,0.11500043242829112,Green,1.5,0.1725006486424367,1.5,0.1725006486424367
Lag-Llama,UNG,Raw,draws,1309,0.014635340049233156,0.08689245354793995,0.09507388606633368,Red,2.0,0.19014777213266737,2.0,0.19014777213266737
Lag-Llama,UNG,Static,draws,1309,0.014635340049233156,0.1015277935971731,0.10970922611556683,Green,1.5,0.16456383917335024,1.5,0.16456383917335024
GJR-GARCH,UNG,Raw,normal,1309,0.0047366492580896286,0.0880636548644983,0.0884961383639127,Green,1.5,0.13274420754586905,1.5,0.13274420754586905
GJR-GARCH,UNG,Static,normal,1309,0.0047366492580896286,0.09280030412258793,0.09323278762200231,Green,1.5,0.13984918143300346,1.5,0.13984918143300346
GJR-GARCH-t,UNG,Raw,student,1309,0.003468949979262087,0.09142712230206716,0.09268929538138093,Green,1.5,0.1390339430720714,1.5,0.1390339430720714
GJR-GARCH-t,UNG,Static,student,1309,0.003468949979262087,0.09489607228132926,0.09615824536064302,Green,1.5,0.14423736804096454,1.5,0.14423736804096454
GARCH-N,UNG,Raw,normal,1309,0.004025201578792562,0.08994639975608203,0.0903860397975462,Green,1.5,0.13557905969631928,1.5,0.13557905969631928
GARCH-N,UNG,Static,normal,1309,0.004025201578792562,0.0939716013348746,0.09441124137633877,Green,1.5,0.14161686206450816,1.5,0.14161686206450816
Hist-Sim,UNG,Raw,window,1309,0.008913031969005385,0.09274645930743522,0.1008741758503833,Yellow,1.7,0.17148609894565162,1.92,0.19367841763273594
Hist-Sim,UNG,Static,window,1309,0.008913031969005385,0.10165949127644061,0.1097872078193887,Green,1.5,0.16468081172908305,1.5,0.16468081172908305
EWMA,UNG,Raw,normal,1309,0.005541683205380517,0.08927777776907465,0.08971738082643088,Green,1.5,0.13457607123964632,1.5,0.13457607123964632
EWMA,UNG,Static,normal,1309,0.005541683205380517,0.09481946097445518,0.0952590640318114,Green,1.5,0.14288859604771711,1.5,0.14288859604771711
Moirai-1.1,USDJPY,Raw,draws,1923,0.0011652407662152038,0.014953901516612633,0.01685177375598812,Green,1.5,0.02527766063398218,1.5,0.02527766063398218
Moirai-1.1,USDJPY,Static,draws,1923,0.0011652407662152038,0.016119142282827837,0.018017014522203327,Green,1.5,0.02702552178330499,1.5,0.02702552178330499
Lag-Llama,USDJPY,Raw,draws,1923,0.004731854104055334,0.012183877986811491,0.014034080200441652,Red,2.0,0.028068160400883304,2.0,0.028068160400883304
Lag-Llama,USDJPY,Static,draws,1923,0.004731854104055334,0.016915732090866824,0.018765934304496985,Green,1.5,0.02814890145674548,1.5,0.02814890145674548
GJR-GARCH,USDJPY,Raw,normal,1923,0.002473162451243958,0.012266871750676917,0.012328427788730879,Yellow,1.7,0.020958327240842494,1.92,0.023670581354363285
GJR-GARCH,USDJPY,Static,normal,1923,0.002473162451243958,0.014740034201920871,0.014801590239974837,Green,1.5,0.022202385359962256,1.5,0.022202385359962256
GJR-GARCH-t,USDJPY,Raw,student,1923,0.001361526804458238,0.013748851535119688,0.01442767361534387,Green,1.5,0.021641510423015806,1.5,0.021641510423015806
GJR-GARCH-t,USDJPY,Static,student,1923,0.001361526804458238,0.015110378339577926,0.01578920041980211,Green,1.5,0.023683800629703163,1.5,0.023683800629703163
GARCH-N,USDJPY,Raw,normal,1923,0.002573297592277427,0.012381518925653947,0.012443824687080888,Yellow,1.7,0.02115450196803751,1.92,0.023892143399195303
GARCH-N,USDJPY,Static,normal,1923,0.002573297592277427,0.014954816517931372,0.015017122279358315,Green,1.5,0.022525683419037473,1.5,0.022525683419037473
Hist-Sim,USDJPY,Raw,window,1923,0.0019057896929830995,0.014119510312619337,0.01542614367558977,Red,2.0,0.03085228735117954,2.0,0.03085228735117954
Hist-Sim,USDJPY,Static,window,1923,0.0019057896929830995,0.016025300005602438,0.017331933368572867,Green,1.5,0.0259979000528593,1.5,0.0259979000528593
EWMA,USDJPY,Raw,normal,1923,0.0028510593598368578,0.012207502660497953,0.01226761230509641,Red,2.0,0.02453522461019282,2.0,0.02453522461019282
EWMA,USDJPY,Static,normal,1923,0.0028510593598368578,0.015058562020334811,0.015118671664933267,Green,1.5,0.0226780074973999,1.5,0.0226780074973999
Moirai-1.1,USO,Raw,draws,1386,0.009135935861219253,0.06146152283934524,0.06900586713406473,Yellow,1.7,0.11730997412791004,1.92,0.1324912648974043
Moirai-1.1,USO,Static,draws,1386,0.009135935861219253,0.0705974587005645,0.07814180299528399,Green,1.5,0.11721270449292598,1.5,0.11721270449292598
Lag-Llama,USO,Raw,draws,1386,0.01637182415665444,0.05072188174227067,0.056503792038996414,Red,2.0,0.11300758407799283,2.0,0.11300758407799283
Lag-Llama,USO,Static,draws,1386,0.01637182415665444,0.06709370589892512,0.07287561619565085,Green,1.5,0.10931342429347626,1.5,0.10931342429347626
GJR-GARCH,USO,Raw,normal,1386,0.009119718727964243,0.049957364076292095,0.0502081374784079,Yellow,1.7,0.08535383371329343,1.92,0.09639962395854315
GJR-GARCH,USO,Static,normal,1386,0.009119718727964243,0.05907708280425634,0.05932785620637215,Green,1.5,0.08899178430955822,1.5,0.08899178430955822
GJR-GARCH-t,USO,Raw,student,1386,0.008185894766183761,0.05269034327543188,0.05404458016340686,Yellow,1.7,0.09187578627779165,1.92,0.10376559391374117
GJR-GARCH-t,USO,Static,student,1386,0.008185894766183761,0.06087623804161564,0.06223047492959061,Green,1.5,0.09334571239438591,1.5,0.09334571239438591
GARCH-N,USO,Raw,normal,1386,0.00871136603447998,0.05051095332120268,0.05076419300624171,Yellow,1.7,0.0862991281106109,1.92,0.09746725057198408
GARCH-N,USO,Static,normal,1386,0.00871136603447998,0.05922231935568266,0.05947555904072168,Green,1.5,0.08921333856108252,1.5,0.08921333856108252
Hist-Sim,USO,Raw,window,1386,0.007735041834238433,0.06130576534977381,0.06505186181446528,Green,1.5,0.09757779272169792,1.5,0.09757779272169792
Hist-Sim,USO,Static,window,1386,0.007735041834238433,0.06904080718401223,0.07278690364870372,Green,1.5,0.10918035547305557,1.5,0.10918035547305557
EWMA,USO,Raw,normal,1386,0.009776701466038977,0.05080884789332652,0.051059030250378765,Yellow,1.7,0.08680035142564389,1.92,0.09803333808072723
EWMA,USO,Static,normal,1386,0.009776701466038977,0.0605855493593655,0.06083573171641774,Green,1.5,0.09125359757462662,1.5,0.09125359757462662
