n_test,qV,pihat_raw,pihat_cp,p_kup_raw,p_kup_cp,QS_raw,QS_cp,TL_raw,TL_cp,dQS,model,asset,w,convergence_failures,n_fits
1847,0.0037263308222974644,0.028153762858689767,0.016783974011911208,1.3681833443968117e-10,0.007571591225283725,0.0005089372993089594,0.0004643977795263711,Yellow,Yellow,4.453951978258835e-05,EWMA,GDAXI,500,0,6154
1697,0.004077745978279392,0.02828520919269299,0.01767825574543312,5.964359006682685e-10,0.004128673907859648,0.0005236731646174261,0.00047420520123745856,Yellow,Yellow,4.9467963379967576e-05,EWMA,GDAXI,1000,0,5654
1922,0.0027969278978324102,0.015608740894901144,0.011966701352757543,0.022380650679893366,0.40061365869606225,0.000525898723475731,0.0005138539035070688,Green,Green,1.2044819968662205e-05,Hist-Sim,GDAXI,250,0,6404
1847,0.002785738782677887,0.015159718462371413,0.01245262587980509,0.03836126863284939,0.3075501442447346,0.0005342404929581855,0.0005253976879301198,Green,Green,8.842805028065701e-06,Hist-Sim,GDAXI,500,0,6154
1697,-0.000649689637663757,0.01473187978786093,0.015910430170889805,0.06720993813993681,0.02424460892189262,0.0005719354269923414,0.0005752871408174947,Green,Green,-3.3517138251532453e-06,Hist-Sim,GDAXI,1000,0,5654
1935,0.003376714522396799,0.021705426356589147,0.012919896640826873,7.4777720030505535e-06,0.21673624541966596,0.00039937605685944386,0.000376676589373115,Yellow,Green,2.2699467486328884e-05,GJR-GARCH,FCHI,250,0,6448
1860,0.003479158953157202,0.021505376344086023,0.015053763440860216,1.5241383760189464e-05,0.0415247394087741,0.00042709786740140134,0.00040023334825481605,Yellow,Green,2.686451914658529e-05,GJR-GARCH,FCHI,500,0,6198
1710,0.003184088001969832,0.02046783625730994,0.014619883040935672,0.00013803245007593112,0.0724425001147585,0.0004346669230770743,0.0004121286856026119,Yellow,Green,2.253823747446241e-05,GJR-GARCH,FCHI,1000,0,5698
1935,0.0036200005185702266,0.022739018087855296,0.017054263565891473,1.3785884217520916e-06,0.004602676266318051,0.00046205450119433884,0.00043044798877421044,Yellow,Yellow,3.1606512420128405e-05,GARCH-N,FCHI,250,0,6448
1860,0.0032532254600767044,0.023118279569892472,0.015591397849462365,1.1882991141076715e-06,0.025075925245649167,0.00045510742010701385,0.00042830676912395055,Yellow,Green,2.68006509830633e-05,GARCH-N,FCHI,500,0,6198
