model,asset,method,n_test,mean_var_pct,mean_loss_fraction_pct,ratio_to_raw
Hist-Sim,GLD,POT-Shift,1490,3.066014721833689,3.016416373167093,1.128810622628885
Hist-Sim,GLD,POT-Vol,1490,3.1089402996076565,3.057143654070482,1.1446144763510087
Hist-Sim,GLD,Rolling250,1490,3.6065494729934797,3.524442078322244,1.32781859368139
Hist-Sim,GLD,Rolling500,1490,3.0763116594862674,3.0226832607066996,1.1326016326719897
Hist-Sim,GLD,Selected-rolling,1490,3.0763116594862674,3.0226832607066996,1.1326016326719897
Hist-Sim,GLD,Gate-selected-rolling,1490,3.0763116594862674,3.0226832607066996,1.1326016326719897
Hist-Sim,GLD,Loss-gate,1490,2.716146234248977,2.676507104948426,1.0
Hist-Sim,GLD,Past-minimum,1490,3.092345290262936,3.041098560567171,1.1385047135055963
Hist-Sim,HSI,Raw,1817,3.357479770274971,3.2995024615209667,1.0
Hist-Sim,HSI,Shift-CP,1817,3.7029273559713154,3.6329756764166277,1.1028889552082253
Hist-Sim,HSI,Shift-ERM,1817,3.695259807912906,3.6255864052298166,1.1006052339103958
Hist-Sim,HSI,Vol-CP,1817,3.7928890008423464,3.7191200906399935,1.1296833519064557
Hist-Sim,HSI,Vol-ERM,1817,4.002257808825188,3.9201488283851273,1.1920422705919718
Hist-Sim,HSI,State2-ERM,1817,4.046486531668152,3.9620172165494476,1.2052154617559327
Hist-Sim,HSI,State4-ERM,1817,3.8123558576614434,3.735972990880423,1.135481408231752
Hist-Sim,HSI,State-L1,1817,3.7293348558838346,3.657743304122115,1.1107542296757933
Hist-Sim,HSI,POT-Shift,1817,3.8003735812093606,3.7268359649128224,1.1319125776588423
Hist-Sim,HSI,POT-Vol,1817,3.813683747543248,3.7391081340566306,1.13587691020724
Hist-Sim,HSI,Rolling250,1817,4.449682628538879,4.3286431345307825,1.3253043750057976
Hist-Sim,HSI,Rolling500,1817,3.9314235194755263,3.8492197337982903,1.1709448123208053
Hist-Sim,HSI,Selected-rolling,1817,3.9314235194755263,3.8492197337982903,1.1709448123208053
Hist-Sim,HSI,Gate-selected-rolling,1817,3.9314235194755263,3.8492197337982903,1.1709448123208053
Hist-Sim,HSI,Loss-gate,1817,3.357479770274971,3.2995024615209667,1.0
Hist-Sim,HSI,Past-minimum,1817,4.002257808825188,3.9201488283851273,1.1920422705919718
Hist-Sim,IBGL,Raw,1260,1.932224294307658,1.9127179050903325,1.0
Hist-Sim,IBGL,Shift-CP,1260,2.093396612132269,2.0706801212570896,1.08341284099337
Hist-Sim,IBGL,Shift-ERM,1260,2.0852403867513205,2.0626924594723284,1.0791916822981933
Hist-Sim,IBGL,Vol-CP,1260,2.1011259571885184,2.078061815062,1.0874130727878981
Hist-Sim,IBGL,Vol-ERM,1260,2.1703720981929036,2.145760114276208,1.1232506001434877
Hist-Sim,IBGL,State2-ERM,1260,2.230056872748908,2.203556279322752,1.1541397545402294
Hist-Sim,IBGL,State4-ERM,1260,2.343257742648275,2.311130340905862,1.2127255358249678
Hist-Sim,IBGL,State-L1,1260,2.230056872748908,2.203556279322752,1.1541397545402294
Hist-Sim,IBGL,POT-Shift,1260,2.1130757240889113,2.089949845636901,1.0935975343618454
Hist-Sim,IBGL,POT-Vol,1260,2.1670111153803835,2.142475455825602,1.1215111629454244
Hist-Sim,IBGL,Rolling250,1260,2.107030607133178,2.0825652694329193,1.0904689550485938
Hist-Sim,IBGL,Rolling500,1260,2.1038545182958526,2.079618127697386,1.0888252075568132
Hist-Sim,IBGL,Selected-rolling,1260,2.1313829903679813,2.1067897455295417,1.1030722451047976
Hist-Sim,IBGL,Gate-selected-rolling,1260,2.1313829903679813,2.1067897455295417,1.1030722451047976
Hist-Sim,IBGL,Loss-gate,1260,1.932224294307658,1.9127179050903325,1.0
Hist-Sim,IBGL,Past-minimum,1260,2.143688012364776,2.1196786317762113,1.1094405647833387
Hist-Sim,ICLN,Raw,1219,4.154483933759676,4.067268836621912,1.0
Hist-Sim,ICLN,Shift-CP,1219,4.247838289194099,4.156784429596606,1.0224707465290257
Hist-Sim,ICLN,Shift-ERM,1219,4.24282070615974,4.151975296022435,1.0212629953102557
Hist-Sim,ICLN,Vol-CP,1219,4.290300322065881,4.197390948327509,1.0326915184826089
Hist-Sim,ICLN,Vol-ERM,1219,4.615814562042801,4.5084801212671115,1.1110440275227245
Hist-Sim,ICLN,State2-ERM,1219,4.659325791223311,4.5495958497122215,1.1215173449971123
Hist-Sim,ICLN,State4-ERM,1219,4.231623310401457,4.139370084244747,1.0185677397895179
Hist-Sim,ICLN,State-L1,1219,4.378128044375878,4.279104856546799,1.0538319835103591
Hist-Sim,ICLN,POT-Shift,1219,4.619596957823218,4.5124284135060675,1.1119544644965398
Hist-Sim,ICLN,POT-Vol,1219,4.656770289347414,4.547543354397693,1.1209022260276706
Hist-Sim,ICLN,Rolling250,1219,4.78169373089899,4.663203016339393,1.1509717710165048
Hist-Sim,ICLN,Rolling500,1219,4.222442590005716,4.129074221129472,1.0163579056579815
Hist-Sim,ICLN,Selected-rolling,1219,5.209704356272419,5.06428806380581,1.2539955477834288
Hist-Sim,ICLN,Gate-selected-rolling,1219,4.154483933759676,4.067268836621912,1.0
Hist-Sim,ICLN,Loss-gate,1219,4.154483933759676,4.067268836621912,1.0
Hist-Sim,ICLN,Past-minimum,1219,4.281173151669327,4.188652440609416,1.030494574038466
Hist-Sim,NIFTY,Raw,1242,2.1593216092635483,2.134876954729124,1.0
Hist-Sim,NIFTY,Shift-CP,1242,2.437513003736414,2.4067509648442926,1.12883277473787
Hist-Sim,NIFTY,Shift-ERM,1242,2.41106700933549,2.3809380465777594,1.1165854122850192
Hist-Sim,NIFTY,Vol-CP,1242,2.4187087327881467,2.3881275506188913,1.1201243586929437
Hist-Sim,NIFTY,Vol-ERM,1242,2.513787653545183,2.480766902325202,1.1641562066349755
Hist-Sim,NIFTY,State2-ERM,1242,2.291893921168983,2.2626419477069173,1.0613953527518531
Hist-Sim,NIFTY,State4-ERM,1242,2.2950755669104965,2.26541460684075,1.062868799656596
Hist-Sim,NIFTY,State-L1,1242,2.291893921168983,2.2626419477069177,1.0613953527518531
Hist-Sim,NIFTY,POT-Shift,1242,2.590194423962412,2.5556440285692252,1.199540824697168
Hist-Sim,NIFTY,POT-Vol,1242,2.44863888474064,2.4173007347383484,1.1339852638142986
Hist-Sim,NIFTY,Rolling250,1242,2.4145028560072315,2.3822651446962695,1.1181765817787164
Hist-Sim,NIFTY,Rolling500,1242,2.474411647536546,2.43987105707207,1.1459208470480975
Hist-Sim,NIFTY,Selected-rolling,1242,2.984433235518442,2.9273498380469003,1.382116134398481
Hist-Sim,NIFTY,Gate-selected-rolling,1242,2.984433235518442,2.9273498380469003,1.382116134398481
Hist-Sim,NIFTY,Loss-gate,1242,2.1593216092635483,2.134876954729124,1.0
Hist-Sim,NIFTY,Past-minimum,1242,2.3324114529154865,2.3039562466329535,1.0801593625096781
Hist-Sim,NIKKEI,Raw,1806,3.4573834883690515,3.3942735439947818,1.0
Hist-Sim,NIKKEI,Shift-CP,1806,3.987127601729349,3.9046835659110526,1.1532211035143785
Hist-Sim,NIKKEI,Shift-ERM,1806,3.909527670313845,3.8300847256837245,1.1307764046036106
Hist-Sim,NIKKEI,Vol-CP,1806,3.883993643985545,3.8049440670032895,1.123391043270626
Hist-Sim,NIKKEI,Vol-ERM,1806,3.9084454786211698,3.8284174076101225,1.130463395735397
Hist-Sim,NIKKEI,State2-ERM,1806,3.895325153916053,3.8148808452355585,1.1266685246286032
Hist-Sim,NIKKEI,State4-ERM,1806,3.979108639423328,3.8927806279258528,1.1509017304008673
Hist-Sim,NIKKEI,State-L1,1806,3.888685179931283,3.8088420047309763,1.1247480046726577
Hist-Sim,NIKKEI,POT-Shift,1806,3.9608800949452205,3.8794576307660895,1.1456293779009405
Hist-Sim,NIKKEI,POT-Vol,1806,3.983335399704197,3.900266795103387,1.1521242619178622
Hist-Sim,NIKKEI,Rolling250,1806,4.385253766291083,4.268012367111172,1.2683735492587012
Hist-Sim,NIKKEI,Rolling500,1806,4.20623337160741,4.110251406833929,1.2165943945060063
Hist-Sim,NIKKEI,Selected-rolling,1806,4.640008337317867,4.480414681235321,1.3420577592642737
Hist-Sim,NIKKEI,Gate-selected-rolling,1806,4.640008337317867,4.480414681235321,1.3420577592642737
Hist-Sim,NIKKEI,Loss-gate,1806,3.4573834883690515,3.3942735439947818,1.0
Hist-Sim,NIKKEI,Past-minimum,1806,3.9084454786211698,3.8284174076101225,1.130463395735397
Hist-Sim,SP500,Raw,1858,3.2763844375007114,3.211411421958633,1.0
Hist-Sim,SP500,Shift-CP,1858,3.578729637854441,3.503605134596604,1.0922801356559866
Hist-Sim,SP500,Shift-ERM,1858,3.5709563186077884,3.4961038702173686,1.089907605998697
Hist-Sim,SP500,Vol-CP,1858,3.658907307732609,3.5791065090385406,1.116751522151562
Hist-Sim,SP500,Vol-ERM,1858,3.7344712084923564,3.6515009597636183,1.139814719465913
Hist-Sim,SP500,State2-ERM,1858,3.66107974383433,3.5801937290054875,1.1174145811250011
Hist-Sim,SP500,State4-ERM,1858,3.655682414651583,3.572278771127461,1.115767238059587
Hist-Sim,SP500,State-L1,1858,3.655682414651582,3.5722787711274595,1.1157672380595869
Hist-Sim,SP500,POT-Shift,1858,3.603892711667623,3.5278835389391374,1.0999602703572664
Hist-Sim,SP500,POT-Vol,1858,3.663827124965987,3.583822375265994,1.118253121651629
Hist-Sim,SP500,Rolling250,1858,4.4291651378054855,4.270072036900217,1.3518453717183863
Hist-Sim,SP500,Rolling500,1858,4.093907262263814,3.9939395532857755,1.2495198107419667
Hist-Sim,SP500,Selected-rolling,1858,4.093907262263814,3.9939395532857755,1.2495198107419667
Hist-Sim,SP500,Gate-selected-rolling,1858,4.093907262263814,3.9939395532857755,1.2495198107419667
Hist-Sim,SP500,Loss-gate,1858,3.2763844375007114,3.211411421958633,1.0
Hist-Sim,SP500,Past-minimum,1858,3.7344712084923564,3.6515009597636183,1.139814719465913
Hist-Sim,STOXX,Raw,1532,2.7936939759596826,2.7508165793206,1.0
Hist-Sim,STOXX,Shift-CP,1532,3.4296525838821466,3.3673187054157707,1.227640755714484
Hist-Sim,STOXX,Shift-ERM,1532,3.387042900812156,3.3261350526852667,1.2123886617354527
Hist-Sim,STOXX,Vol-CP,1532,3.280777555858884,3.2225426071299546,1.174351086443489
Hist-Sim,STOXX,Vol-ERM,1532,3.282879769377365,3.224572716280955,1.175103571696552
Hist-Sim,STOXX,State2-ERM,1532,3.28694626132965,3.2276840759653656,1.1765591684753254
Hist-Sim,STOXX,State4-ERM,1532,3.236457742131445,3.179118763654496,1.1584868528843302
Hist-Sim,STOXX,State-L1,1532,3.255954030836915,3.1980117769527667,1.1654655301744128
Hist-Sim,STOXX,POT-Shift,1532,3.3628329874239458,3.302727560360007,1.2037227471447562
Hist-Sim,STOXX,POT-Vol,1532,3.2549962262548733,3.1976414966221265,1.1651226849700764
Hist-Sim,STOXX,Rolling250,1532,3.811629430886823,3.7154169059396382,1.364368990908341
Hist-Sim,STOXX,Rolling500,1532,3.2561997840494996,3.1966047290100357,1.165553497294183
Hist-Sim,STOXX,Selected-rolling,1532,3.2561997840494996,3.1966047290100357,1.165553497294183
Hist-Sim,STOXX,Gate-selected-rolling,1532,3.2561997840494996,3.1966047290100357,1.165553497294183
Hist-Sim,STOXX,Loss-gate,1532,2.7936939759596826,2.7508165793206,1.0
Hist-Sim,STOXX,Past-minimum,1532,3.280777555858884,3.2225426071299546,1.174351086443489
Hist-Sim,TLT,Raw,1665,2.6021644993691266,2.5649413345882355,1.0
Hist-Sim,TLT,Shift-CP,1665,2.7682179540472482,2.726601357397013,1.063813588540763
Hist-Sim,TLT,Shift-ERM,1665,2.750353867637626,2.7092228011959896,1.0569485012590198
Hist-Sim,TLT,Vol-CP,1665,2.757678309559363,2.7161786187241432,1.0597632510273425
