model,asset,alpha,n_test,qV,pihat_raw,p_kup_raw,miscal_raw,QS_raw,QS_static,QS_roll,pihat_static,pihat_roll,TL_raw,TL_static,TL_roll,dQS_static,dQS_roll,rel_static,rel_roll
GJR-GARCH,ASX200,0.01,1912,-0.00490538462750153,0.005230125523012552,0.021071440472452796,0.004769874476987448,0.00032555577465253114,0.00032763207466093776,0.00033837172036022337,0.01778242677824268,0.007322175732217573,Green,Yellow,Green,-2.076300008406625e-06,-1.281594570769223e-05,-0.006377709044241897,-0.03936635963951435
GJR-GARCH,CBU0,0.01,1055,0.0001826293563039318,0.0009478672985781991,0.00014204685136276485,0.009052132701421802,0.00016882586888595748,0.0001704790540543959,0.00014559155768860578,0.0009478672985781991,0.007582938388625593,Green,Green,Green,-1.6531851684384227e-06,2.3234311197351703e-05,-0.009792250318907913,0.13762293273341047
Hist-Sim,ICLN,0.01,1263,0.0008834086325304746,0.00870942201108472,0.6373904008233857,0.0012905779889152806,0.0005586609484945143,0.0005598010562308758,0.0006323821245138394,0.00870942201108472,0.011876484560570071,Green,Green,Green,-1.140107736361559e-06,-7.37211760193251e-05,-0.002040786526128118,-0.1319604962866829
Hist-Sim,NIFTY,0.01,1287,0.0030245018021237344,0.01320901320901321,0.2701296444226774,0.0032090132090132097,0.00034017090926417875,0.0003411848658623425,0.0003889733609666721,0.005439005439005439,0.017094017094017096,Green,Green,Yellow,-1.013956598163758e-06,-4.880245170249336e-05,-0.0029807269538628103,-0.14346450673297606
Moirai-1.1,TLT,0.01,1631,0.0003764811378797108,0.00797057020232986,0.3931344806744237,0.002029429797670141,0.0003521166957647764,0.00035304548106714014,0.00041976550114965195,0.007357449417535254,0.007357449417535254,Green,Green,Green,-9.287853023637479e-07,-6.764880538487556e-05,-0.002637720146573799,-0.19212041405178587
EWMA,AUDUSD,0.01,1473,0.003053668090950385,0.019687712152070606,0.0009669242101998377,0.009687712152070605,0.0002102939869447546,0.00021119440167244186,0.0002252313761828251,0.005431093007467753,0.00746775288526816,Yellow,Green,Green,-9.004147276872728e-07,-1.493738923807051e-05,-0.0042816950725453546,-0.0710309859786654
Moirai-1.1,EURUSD,0.01,1582,-0.00016161325282183954,0.01327433628318584,0.21261282507459767,0.0032743362831858403,0.00016497954902776153,0.00016559675444239265,0.00016818005121735342,0.014538558786346398,0.010113780025284451,Green,Green,Green,-6.172054146311168e-07,-3.2005021895918824e-06,-0.0037411025685811397,-0.019399387429852446
GARCH-N,EURUSD,0.01,1660,0.0011837784228271968,0.013855421686746987,0.1357780366637481,0.003855421686746987,0.00014720491628718947,0.0001474983187997091,0.000155168390629357,0.008433734939759036,0.007228915662650603,Green,Green,Green,-2.9340251251963123e-07,-7.963474342167532e-06,-0.0019931570216528472,-0.05409788302607496
GARCH-N,CBU0,0.01,1055,0.0008492526288492244,0.013270142180094787,0.309340451568912,0.0032701421800947865,0.00013354111569858736,0.00013360968101628522,0.00013877824365800018,0.008530805687203791,0.008530805687203791,Green,Green,Green,-6.856531769785937e-08,-5.237127959412818e-06,-0.0005134397547839619,-0.03921734465086709
GJR-GARCH,SP500,0.01,1902,-0.0050303410366928925,0.006834910620399579,0.1411716153729592,0.003165089379600421,0.00042705157296937986,0.0004268703043104462,0.00044590741221835884,0.014195583596214511,0.007360672975814932,Green,Green,Green,1.8126865893367244e-07,-1.8855839248978982e-05,0.0004244654987997659,-0.04415354126404534
GJR-GARCH,STOXX,0.01,1577,-0.004630660156466087,0.0063411540900443885,0.11746405940375548,0.0036588459099556117,0.0003762035488739236,0.0003753901276265422,0.0003922145555779975,0.012048192771084338,0.008243500317057704,Green,Green,Green,8.134212473813853e-07,-1.6011006704073894e-05,0.0021621838757666413,-0.04255942494960257
EWMA,ICLN,0.01,1263,0.006885284683635508,0.014251781472684086,0.15343329232641822,0.004251781472684086,0.0005396999260363123,0.0005386540546452428,0.0005882488711627066,0.00791765637371338,0.0055423594615993665,Green,Green,Green,1.0458713910695182e-06,-4.8548945126394285e-05,0.0019378757354121805,-0.08995544150422542
