key,model,asset,n_cal,calibration_first,calibration_last,calibration_sd,test_first,test_last,high_days,other_days,matched,input_folder
Lag-Llama__HSI,Lag-Llama,HSI,4238,2002-02-04,2019-04-10,0.014182983779017125,2019-04-11,2026-08-31,162,1655,True,artifacts/review_20260909/controlled/Lag-Llama__HSI/full
Lag-Llama__IBGL,Lag-Llama,IBGL,2939,2010-01-12,2021-08-26,0.0083358024631309344,2021-08-27,2026-08-28,269,991,True,artifacts/review_20260909/controlled/Lag-Llama__IBGL/full
Lag-Llama__ICLN,Lag-Llama,ICLN,2842,2010-07-09,2021-10-20,0.016672708416670685,2021-10-21,2026-08-31,147,1072,True,artifacts/review_20260909/controlled/Lag-Llama__ICLN/full
Lag-Llama__NIFTY,Lag-Llama,NIFTY,2895,2009-10-27,2021-08-20,0.011105309085316414,2021-08-23,2026-08-31,70,1172,True,artifacts/review_20260909/controlled/Lag-Llama__NIFTY/full
Lag-Llama__NIKKEI,Lag-Llama,NIKKEI,4211,2002-02-01,2019-04-03,0.014845407276517172,2019-04-04,2026-08-31,165,1641,True,artifacts/review_20260909/controlled/Lag-Llama__NIKKEI/full
Lag-Llama__SP500,Lag-Llama,SP500,4334,2002-01-22,2019-04-09,0.01181812112926223,2019-04-10,2026-08-31,173,1685,True,artifacts/review_20260909/controlled/Lag-Llama__SP500/full
Lag-Llama__STOXX,Lag-Llama,STOXX,3574,2006-04-25,2020-07-29,0.012528580326228625,2020-07-30,2026-08-31,31,1501,True,artifacts/review_20260909/controlled/Lag-Llama__STOXX/full
Lag-Llama__TLT,Lag-Llama,TLT,3883,2004-08-12,2020-01-14,0.008489015626544796,2020-01-15,2026-08-31,354,1311,True,artifacts/review_20260909/controlled/Lag-Llama__TLT/full
Lag-Llama__UNG,Lag-Llama,UNG,3052,2009-04-30,2021-06-14,0.026469071040927543,2021-06-15,2026-08-31,529,780,True,artifacts/r8_commodity_etp/controlled/Lag-Llama__UNG/full
Lag-Llama__USDJPY,Lag-Llama,USDJPY,4486,2001-12-20,2019-04-09,0.0076269346047361918,2019-04-10,2026-08-31,121,1802,True,artifacts/review_20260909/controlled/Lag-Llama__USDJPY/full
Lag-Llama__USO,Lag-Llama,USO,3231,2008-04-24,2021-02-23,0.024646820108006333,2021-02-24,2026-08-31,186,1200,True,artifacts/r8_commodity_etp/controlled/Lag-Llama__USO/full
Moirai-1.1__ASX200,Moirai-1.1,ASX200,4356,2002-01-16,2019-04-11,0.0098791339619696411,2019-04-12,2026-08-31,110,1758,True,artifacts/review_20260909/controlled/Moirai-1.1__ASX200/full
Moirai-1.1__AUDUSD,Moirai-1.1,AUDUSD,3335,2008-05-09,2021-03-01,0.0083684135156670454,2021-03-02,2026-08-31,34,1396,True,artifacts/review_20260909/controlled/Moirai-1.1__AUDUSD/full
Moirai-1.1__BOVESPA,Moirai-1.1,BOVESPA,4265,2002-01-31,2019-04-26,0.017260150807810605,2019-04-29,2026-08-31,55,1774,True,artifacts/review_20260909/controlled/Moirai-1.1__BOVESPA/full
Moirai-1.1__BTC,Moirai-1.1,BTC,2697,2016-02-12,2023-07-01,0.038355187763913827,2023-07-02,2026-08-31,0,1157,False,artifacts/review_20260909/controlled/Moirai-1.1__BTC/full
Moirai-1.1__CBU0,Moirai-1.1,CBU0,2356,2013-05-01,2022-08-25,0.0035368502012146472,2022-08-26,2026-08-28,406,604,True,artifacts/review_20260909/controlled/Moirai-1.1__CBU0/full
Moirai-1.1__DJCI,Moirai-1.1,DJCI,1782,2016-07-18,2023-08-14,0.010006511364515591,2023-08-15,2026-08-31,77,688,True,artifacts/review_20260909/controlled/Moirai-1.1__DJCI/full
Moirai-1.1__ETH,Moirai-1.1,ETH,1893,2019-04-06,2024-06-10,0.044609604145017967,2024-06-11,2026-08-31,15,797,True,artifacts/review_20260909/controlled/Moirai-1.1__ETH/full
Moirai-1.1__EURUSD,Moirai-1.1,EURUSD,3772,2005-11-21,2020-06-11,0.0077506781122502295,2020-06-12,2026-08-31,5,1612,True,artifacts/review_20260909/controlled/Moirai-1.1__EURUSD/full
Moirai-1.1__FCHI,Moirai-1.1,FCHI,4410,2002-01-11,2019-04-10,0.014093699343033643,2019-04-11,2026-08-31,109,1782,True,artifacts/review_20260909/controlled/Moirai-1.1__FCHI/full
Moirai-1.1__FTSE100,Moirai-1.1,FTSE100,4354,2002-01-14,2019-04-04,0.011569364617824283,2019-04-05,2026-08-28,93,1774,True,artifacts/review_20260909/controlled/Moirai-1.1__FTSE100/full
Moirai-1.1__GBPUSD,Moirai-1.1,GBPUSD,3780,2005-11-21,2020-06-05,0.0060802286644251495,2020-06-08,2026-08-31,86,1535,True,artifacts/review_20260909/controlled/Moirai-1.1__GBPUSD/full
Moirai-1.1__GDAXI,Moirai-1.1,GDAXI,4379,2002-01-10,2019-04-09,0.014478995016093022,2019-04-10,2026-08-31,94,1784,True,artifacts/review_20260909/controlled/Moirai-1.1__GDAXI/full
Moirai-1.1__GLD,Moirai-1.1,GLD,3476,2006-12-01,2020-09-23,0.011436955926163951,2020-09-24,2026-08-31,136,1354,True,artifacts/r8_commodity_etp/controlled/Moirai-1.1__GLD/full
Moirai-1.1__HSI,Moirai-1.1,HSI,4238,2002-02-04,2019-04-10,0.014182983779017125,2019-04-11,2026-08-31,162,1655,True,artifacts/review_20260909/controlled/Moirai-1.1__HSI/full
Moirai-1.1__IBGL,Moirai-1.1,IBGL,2939,2010-01-12,2021-08-26,0.0083358024631309344,2021-08-27,2026-08-28,269,991,True,artifacts/review_20260909/controlled/Moirai-1.1__IBGL/full
Moirai-1.1__ICLN,Moirai-1.1,ICLN,2842,2010-07-09,2021-10-20,0.016672708416670685,2021-10-21,2026-08-31,147,1072,True,artifacts/review_20260909/controlled/Moirai-1.1__ICLN/full
Moirai-1.1__NIFTY,Moirai-1.1,NIFTY,2895,2009-10-27,2021-08-20,0.011105309085316414,2021-08-23,2026-08-31,70,1172,True,artifacts/review_20260909/controlled/Moirai-1.1__NIFTY/full
Moirai-1.1__NIKKEI,Moirai-1.1,NIKKEI,4211,2002-02-01,2019-04-03,0.014845407276517172,2019-04-04,2026-08-31,165,1641,True,artifacts/review_20260909/controlled/Moirai-1.1__NIKKEI/full
Moirai-1.1__SP500,Moirai-1.1,SP500,4334,2002-01-22,2019-04-09,0.01181812112926223,2019-04-10,2026-08-31,173,1685,True,artifacts/review_20260909/controlled/Moirai-1.1__SP500/full
Moirai-1.1__STOXX,Moirai-1.1,STOXX,3574,2006-04-25,2020-07-29,0.012528580326228625,2020-07-30,2026-08-31,31,1501,True,artifacts/review_20260909/controlled/Moirai-1.1__STOXX/full
Moirai-1.1__TLT,Moirai-1.1,TLT,3883,2004-08-12,2020-01-14,0.008489015626544796,2020-01-15,2026-08-31,354,1311,True,artifacts/review_20260909/controlled/Moirai-1.1__TLT/full
Moirai-1.1__UNG,Moirai-1.1,UNG,3052,2009-04-30,2021-06-14,0.026469071040927543,2021-06-15,2026-08-31,529,780,True,artifacts/r8_commodity_etp/controlled/Moirai-1.1__UNG/full
Moirai-1.1__USDJPY,Moirai-1.1,USDJPY,4486,2001-12-20,2019-04-09,0.0076269346047361918,2019-04-10,2026-08-31,121,1802,True,artifacts/review_20260909/controlled/Moirai-1.1__USDJPY/full
Moirai-1.1__USO,Moirai-1.1,USO,3231,2008-04-24,2021-02-23,0.024646820108006333,2021-02-24,2026-08-31,186,1200,True,artifacts/r8_commodity_etp/controlled/Moirai-1.1__USO/full
