model,asset,original_n,common_n,original_n_cal,common_n_cal,original_first,common_first,original_test_first,common_test_first,common_calibration_last,last
GJR-GARCH-t,TLT,5810,5548,4066,3883,2003-07-29,2004-08-12,2019-09-23,2020-01-15,2020-01-14,2026-08-31
GARCH-N,TLT,5810,5548,4066,3883,2003-07-29,2004-08-12,2019-09-23,2020-01-15,2020-01-14,2026-08-31
Hist-Sim,TLT,5810,5548,4066,3883,2003-07-29,2004-08-12,2019-09-23,2020-01-15,2020-01-14,2026-08-31
EWMA,TLT,5810,5548,4066,3883,2003-07-29,2004-08-12,2019-09-23,2020-01-15,2020-01-14,2026-08-31
PatchTST-FM,UNG,4361,4361,3052,3052,2009-04-30,2009-04-30,2021-06-15,2021-06-15,2021-06-14,2026-08-31
Chronos-2,UNG,4361,4361,3052,3052,2009-04-30,2009-04-30,2021-06-15,2021-06-15,2021-06-14,2026-08-31
TS-ICL,UNG,4361,4361,3052,3052,2009-04-30,2009-04-30,2021-06-15,2021-06-15,2021-06-14,2026-08-31
Moirai-1.1,UNG,4361,4361,3052,3052,2009-04-30,2009-04-30,2021-06-15,2021-06-15,2021-06-14,2026-08-31
Lag-Llama,UNG,4361,4361,3052,3052,2009-04-30,2009-04-30,2021-06-15,2021-06-15,2021-06-14,2026-08-31
GJR-GARCH,UNG,4623,4361,3236,3052,2008-04-16,2009-04-30,2021-02-23,2021-06-15,2021-06-14,2026-08-31
GJR-GARCH-t,UNG,4623,4361,3236,3052,2008-04-16,2009-04-30,2021-02-23,2021-06-15,2021-06-14,2026-08-31
GARCH-N,UNG,4623,4361,3236,3052,2008-04-16,2009-04-30,2021-02-23,2021-06-15,2021-06-14,2026-08-31
Hist-Sim,UNG,4623,4361,3236,3052,2008-04-16,2009-04-30,2021-02-23,2021-06-15,2021-06-14,2026-08-31
EWMA,UNG,4623,4361,3236,3052,2008-04-16,2009-04-30,2021-02-23,2021-06-15,2021-06-14,2026-08-31
PatchTST-FM,USDJPY,6409,6409,4486,4486,2001-12-20,2001-12-20,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Chronos-2,USDJPY,6409,6409,4486,4486,2001-12-20,2001-12-20,2019-04-10,2019-04-10,2019-04-09,2026-08-31
TS-ICL,USDJPY,6409,6409,4486,4486,2001-12-20,2001-12-20,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Moirai-1.1,USDJPY,6409,6409,4486,4486,2001-12-20,2001-12-20,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Lag-Llama,USDJPY,6409,6409,4486,4486,2001-12-20,2001-12-20,2019-04-10,2019-04-10,2019-04-09,2026-08-31
GJR-GARCH,USDJPY,6671,6409,4669,4486,2000-12-19,2001-12-20,2018-12-20,2019-04-10,2019-04-09,2026-08-31
GJR-GARCH-t,USDJPY,6671,6409,4669,4486,2000-12-19,2001-12-20,2018-12-20,2019-04-10,2019-04-09,2026-08-31
GARCH-N,USDJPY,6671,6409,4669,4486,2000-12-19,2001-12-20,2018-12-20,2019-04-10,2019-04-09,2026-08-31
Hist-Sim,USDJPY,6671,6409,4669,4486,2000-12-19,2001-12-20,2018-12-20,2019-04-10,2019-04-09,2026-08-31
EWMA,USDJPY,6671,6409,4669,4486,2000-12-19,2001-12-20,2018-12-20,2019-04-10,2019-04-09,2026-08-31
PatchTST-FM,USO,4617,4617,3231,3231,2008-04-24,2008-04-24,2021-02-24,2021-02-24,2021-02-23,2026-08-31
Chronos-2,USO,4617,4617,3231,3231,2008-04-24,2008-04-24,2021-02-24,2021-02-24,2021-02-23,2026-08-31
TS-ICL,USO,4617,4617,3231,3231,2008-04-24,2008-04-24,2021-02-24,2021-02-24,2021-02-23,2026-08-31
Moirai-1.1,USO,4617,4617,3231,3231,2008-04-24,2008-04-24,2021-02-24,2021-02-24,2021-02-23,2026-08-31
Lag-Llama,USO,4617,4617,3231,3231,2008-04-24,2008-04-24,2021-02-24,2021-02-24,2021-02-23,2026-08-31
GJR-GARCH,USO,4879,4617,3415,3231,2007-04-11,2008-04-24,2020-10-30,2021-02-24,2021-02-23,2026-08-31
GJR-GARCH-t,USO,4879,4617,3415,3231,2007-04-11,2008-04-24,2020-10-30,2021-02-24,2021-02-23,2026-08-31
GARCH-N,USO,4879,4617,3415,3231,2007-04-11,2008-04-24,2020-10-30,2021-02-24,2021-02-23,2026-08-31
Hist-Sim,USO,4879,4617,3415,3231,2007-04-11,2008-04-24,2020-10-30,2021-02-24,2021-02-23,2026-08-31
EWMA,USO,4879,4617,3415,3231,2007-04-11,2008-04-24,2020-10-30,2021-02-24,2021-02-23,2026-08-31
